Zip Code,Latitude,Longitude,City,State,County
98360 98391,47.1443,-122.1408,Prairie Ridge,Washington,Pierce
98232,48.5602,-122.4311,Edison,Washington,Skagit
98361,46.6085,-121.6702,Packwood,Washington,Lewis
98366,47.5862,-122.5482,Wautauga Beach,Washington,Kitsap
98366,47.5207,-122.5196,Harper,Washington,Kitsap
98826,47.8432,-120.8157,Telma,Washington,Chelan
99335,46.6436,-118.5566,Kahlotus,Washington,Franklin
99122,47.6813,-118.0164,Mondovi,Washington,Lincoln
99371,46.7539,-118.3104,Washtucna,Washington,Adams
98014,47.6154,-121.9096,Pleasant Hill,Washington,King
98591,46.4412,-122.8494,Toledo,Washington,Lewis
98022,47.2429,-122.0576,Wabash,Washington,King
98059 98058 98057 98056 98055,47.4757,-122.1904,Renton,Washington,King
98532,46.6649,-122.966,Chehalis,Washington,Lewis
98370,47.6632,-122.6499,Central Valley,Washington,Kitsap
98498,47.1487,-122.5512,Lake City,Washington,Pierce
98638,46.2509,-123.8576,Megler,Washington,Pacific
98328,46.7872,-122.2666,Alder,Washington,Pierce
98940,47.2338,-121.0335,Ronald,Washington,Kittitas
99116,48.0499,-118.985,Belvedere,Washington,Okanogan
99012 99039,47.338,-117.2313,Waverly,Washington,Spokane
98072,47.8045,-122.1435,Turner Corner,Washington,Snohomish
98370,47.8113,-122.6564,Lofall,Washington,Kitsap
98056,47.5207,-122.2068,Kennydale,Washington,King
98925,47.2405,-121.1733,Easton,Washington,Kittitas
98312,47.5508,-122.6654,Navy Yard City,Washington,Kitsap
98040,47.5624,-122.2265,Mercer Island,Washington,King
98037 98036 98046,47.8285,-122.3034,Lynnwood,Washington,Snohomish
99115,47.6123,-119.289,Coulee City,Washington,Grant
98858,47.6212,-120.0048,Douglas,Washington,Douglas
98531,46.7226,-122.9695,Centralia,Washington,Lewis
99005,47.8266,-117.3419,Colbert,Washington,Spokane
98178,47.5034,-122.2329,Bryn Mawr,Washington,King
98311 98370 98383,47.6663,-122.6828,Silverdale,Washington,Kitsap
98635,45.6956,-121.2805,Lyle,Washington,Klickitat
